hour,price,distance,surge_multiplier,cab_type,name
6,7.0,4.51,1.0,Lyft,Shared
0,10.5,2.8,1.0,Uber,WAV
12,7.0,1.09,1.0,Lyft,Lyft
3,15.5,0.92,1.0,Uber,Black
9,16.5,1.12,1.0,Lyft,Lux Black
10,15.0,5.56,1.0,Uber,WAV
17,19.5,3.4,1.0,Lyft,Lyft XL
6,11.0,0.73,1.0,Lyft,Lux
12,11.0,2.45,1.0,Uber,UberX
23,28.5,2.8,1.0,Uber,Black SUV
9,9.5,2.82,1.0,Uber,WAV
9,16.0,5.7,1.0,Uber,WAV
0,6.5,1.16,1.0,Uber,UberPool
19,7.5,1.57,1.0,Uber,UberX
10,7.0,2.69,1.0,Lyft,Shared
4,9.5,2.27,1.0,Uber,UberX
4,26.0,3.44,1.0,Uber,Black
3,16.5,4.72,1.0,Lyft,Shared
11,27.5,2.37,1.0,Lyft,Lux Black XL
2,39.5,3.22,1.0,Uber,Black SUV
10,16.5,2.4,1.0,Lyft,Lux
23,8.5,1.79,1.0,Uber,WAV
13,11.5,3.8,1.0,Uber,UberX
3,30.0,2.39,1.0,Lyft,Lux Black XL
2,9.5,2.33,1.0,Uber,UberX
22,11.0,1.24,1.0,Lyft,Lyft XL
16,3.5,1.48,1.0,Lyft,Shared
16,8.5,0.92,1.0,Uber,WAV
5,19.5,2.83,1.0,Lyft,Lux
23,16.5,1.15,1.0,Lyft,Lux Black
18,3.5,1.53,1.0,Lyft,Shared
20,10.5,2.7,1.0,Uber,UberX
12,16.0,1.61,1.0,Uber,Black
16,35.0,3.45,1.0,Uber,Black SUV
20,26.0,1.45,1.0,Lyft,Lux Black XL
2,9.0,1.66,1.0,Lyft,Lyft
23,19.5,1.2,1.0,Lyft,Lux Black
8,10.5,3.16,1.0,Uber,UberX
10,22.5,2.72,1.0,Lyft,Lux Black
10,8.5,2.17,1.0,Uber,WAV
0,8.0,1.44,1.0,Uber,WAV
18,8.5,1.57,1.0,Uber,WAV
3,8.0,2.86,1.0,Uber,UberX
22,13.5,2.28,1.0,Lyft,Lyft XL
12,42.5,4.68,1.75,Lyft,Lux
22,8.5,2.46,1.0,Uber,UberX
5,15.0,0.39,1.0,Uber,Black
17,10.5,2.84,1.0,Uber,WAV
12,27.0,2.27,1.0,Uber,Black SUV
16,16.5,2.45,1.0,Lyft,Lux
7,32.5,2.05,1.0,Lyft,Lux Black XL
9,16.5,2.52,1.0,Lyft,Lux
17,16.5,2.86,1.0,Lyft,Lyft XL
14,8.0,1.56,1.0,Uber,UberX
4,10.5,1.22,1.0,Lyft,Lyft XL
15,16.5,2.79,1.0,Lyft,Lyft XL
10,7.0,2.88,1.0,Lyft,Shared
4,22.5,2.68,1.0,Lyft,Lux Black
2,27.5,1.72,1.0,Lyft,Lux Black XL
20,22.5,2.44,1.0,Lyft,Lux Black
3,34.0,4.61,1.0,Lyft,Lux Black
20,11.0,2.33,1.0,Lyft,Lyft
18,30.0,3.41,1.0,Lyft,Lux Black
8,7.5,2.14,1.0,Uber,UberPool
17,19.5,2.61,1.0,Lyft,Lyft XL
10,19.0,4.4,1.0,Uber,UberXL
16,14.0,4.72,1.0,Uber,UberX
20,16.5,1.53,1.0,Lyft,Lux Black
3,13.5,1.44,1.0,Lyft,Lux
9,26.5,1.44,1.0,Uber,Black SUV
1,26.0,3.4,1.0,Uber,Black
9,5.0,1.35,1.0,Lyft,Shared
7,9.0,2.66,1.0,Uber,WAV
18,30.0,1.76,1.0,Lyft,Lux Black XL
11,26.0,3.23,1.0,Lyft,Lux Black
7,14.0,1.81,1.0,Uber,UberXL
22,9.0,2.63,1.0,Uber,UberPool
12,27.0,1.21,1.0,Uber,Black SUV
4,19.5,1.82,1.0,Lyft,Lux
17,7.0,1.47,1.0,Lyft,Lyft
18,16.5,2.77,1.0,Lyft,Lux
9,26.0,0.39,1.0,Uber,Black SUV
12,38.5,3.4,1.0,Lyft,Lux Black XL
16,41.0,4.4,1.0,Uber,Black SUV
23,8.5,2.46,1.0,Uber,UberX
3,28.0,2.14,1.0,Uber,Black SUV
17,7.0,1.16,1.0,Uber,UberX
13,8.0,2.24,1.0,Uber,UberPool
8,27.0,0.99,1.0,Uber,Black SUV
6,26.0,1.21,1.0,Uber,Black SUV
15,11.0,2.93,1.0,Lyft,Lyft
1,9.5,2.66,1.0,Uber,UberPool
17,15.0,1.16,1.0,Uber,Black
1,5.0,0.57,1.0,Lyft,Shared
10,26.0,1.68,1.0,Uber,Black SUV
17,9.0,2.96,1.0,Lyft,Lyft
23,9.5,2.27,1.0,Uber,WAV
8,16.5,1.08,1.0,Lyft,Lux Black
0,32.5,4.69,1.25,Lyft,Lux
13,29.5,2.48,1.0,Uber,Black SUV
21,19.5,1.08,1.0,Lyft,Lux Black
2,10.5,1.46,1.0,Lyft,Lyft XL
18,9.5,2.86,1.0,Uber,WAV
2,18.5,3.39,1.0,Uber,UberXL
20,5.0,1.23,1.0,Lyft,Shared
13,67.5,2.81,2.0,Lyft,Lux Black XL
9,9.5,2.66,1.0,Uber,UberX
